"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"17","Casper Ruud",0.533333333333333,0.702888583218707,0.351397333783357,0.512163892445583,0.0456375838926174,1.46015598507969,0.0841163310961969,0.0811202317720908,0.617021276595745,20.5350673055033,0.0456375838926174,1,69.9666666666667,79.8214285714286
"18","Christian Garin",0.581818181818182,0.708614232209738,0.393150756934898,0.507602339181286,0.0561643835616438,1.4964016449623,0.0949771689497717,0.0861474844934528,0.641826923076923,23.0336382303509,0.0317351598173516,1,52.9454545454545,79.6363636363636
"19","Corentin Moutet",0.222222222222222,0.63469387755102,0.351206946225902,0.420233463035019,0.0187416331994645,1.44847328244275,0.101740294511379,0.0843060959792477,0.434210526315789,20.3467944330333,0.0883534136546185,0,86.8888888888889,83
"20","Damir Dzumhur",0.379310344827586,0.647887323943662,0.370157134123359,0.490542244640605,0.0329868956168098,1.54909339719466,0.113420695887935,0.0967602591792657,0.585657370517928,27.0422242677448,0.0356981473113421,1,71.7586206896552,76.3103448275862
"21","Daniel Evans",0.424242424242424,0.689958896065766,0.370327033083311,0.523715415019763,0.0489871086556169,1.40060240963855,0.106077348066298,0.0952879581151832,0.635416666666667,29.2024972517848,0.0335174953959484,1,58.8181818181818,82.2727272727273
"22","Daniil Medvedev",0.7375,0.755846325167038,0.402557430879659,0.546093427035965,0.116120445849276,1.47026641294006,0.0665446681084678,0.0990395213352228,0.615,23.3135523613963,0.0427549492596906,1,11.125,75.1375
"23","David Goffin",0.564516129032258,0.723538119911177,0.409709523696105,0.500260824204486,0.0816193981381251,1.41737572772056,0.0809699069062568,0.100082034454471,0.561497326203209,28.530922258279,0.0409179476077073,1,21.3870967741935,74.5
"24","Denis Istomin",0,0.657142857142857,0.351851851851852,0.631578947368421,0.12962962962963,1.40243902439024,0.0555555555555556,0.0655737704918033,0,32.3148528405,0.037037037037037,1,92,54
"25","Denis Kudla",0.333333333333333,0.685454545454545,0.422756091524884,0.48395378690629,0.067589143161256,1.53205389955084,0.102714209686003,0.0731446876668446,0.544041450777202,26.6368925393625,0.0425758382118148,1,76.1666666666667,78.2916666666667
"26","Denis Shapovalov",0.578125,0.76497057805469,0.400790416874921,0.519270833333333,0.104179663131628,1.53290098070231,0.0713245997088792,0.0753789430561245,0.670553935860058,20.2009325804281,0.0573923892701185,0,27.40625,75.140625
"27","Diego Schwartzman",0.615384615384615,0.674117647058823,0.350276199007186,0.512318029115342,0.0258387967605091,1.44788385152719,0.0898573081372927,0.112163416898793,0.575107296137339,26.8174590638723,0.0366370998843039,1,21.0769230769231,79.7846153846154
"28","Dominic Thiem",0.73015873015873,0.731434058898848,0.3417191040671,0.55224787363305,0.0620545073375262,1.37526652452026,0.0689727463312369,0.0895005096839959,0.613981762917933,25.8237128298841,0.0270440251572327,1,5.19047619047619,78.1967213114754
