"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_sec_in_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","surface"
"18","Daniel Evans",0,0.647058823529412,0.370887075546196,0.514285714285714,0.321100917431193,0.0275229357798165,1.29577464788732,0.151376146788991,0.128099173553719,0.666666666666667,28.99110198495,0.055045871559633,1,81.5,"Clay"
"19","Daniil Medvedev",0.615384615384615,0.666015625,0.46641797616389,0.613577023498694,0.408315565031983,0.0533049040511727,1.40981240981241,0.0756929637526653,0.109251968503937,0.492957746478873,23.1997051545308,0.0458422174840085,1,14,"Clay"
"20","David Goffin",0.5,0.690944881889764,0.396089127855546,0.501639344262295,0.361374407582938,0.0545023696682464,1.39508070714835,0.0959715639810427,0.124613800205973,0.518518518518518,28.410677618075,0.0367298578199052,1,24.5833333333333,"Clay"
"21","Denis Kudla",0.285714285714286,0.687306501547988,0.422303442945331,0.600917431192661,0.386524822695035,0.0673758865248227,1.52645861601085,0.106382978723404,0.0766488413547237,0.583333333333333,26.7132101300571,0.0407801418439716,1,81.4285714285714,"Clay"
"22","Denis Shapovalov",0.4,0.661322645290581,0.379096776773294,0.610486891385768,0.330855018587361,0.0458488228004957,1.55135658914729,0.090458488228005,0.0743073047858942,0.602739726027397,20.01149897329,0.0508054522924411,0,22.4,"Clay"
"23","Diego Schwartzman",0.619047619047619,0.631284916201117,0.341580395437547,0.552688172043011,0.289179104477612,0.0149253731343284,1.38318965517241,0.110074626865672,0.121798875702686,0.519774011299435,26.6502395619381,0.042910447761194,1,22.4761904761905,"Clay"
"24","Dominic Thiem",0.758620689655172,0.720598232494901,0.342120850389944,0.612765957446809,0.31628532974428,0.0489008524001795,1.36218611521418,0.069537909376402,0.107472712006717,0.580645161290323,25.6965234015517,0.0237774786899955,1,4.89655172413793,"Clay"
"25","Dusan Lajovic",0.55,0.664485981308411,0.319084477609664,0.571428571428571,0.287179487179487,0.0269230769230769,1.42970574497898,0.091025641025641,0.10126582278481,0.612676056338028,28.880355920595,0.0269230769230769,1,37.25,"Clay"
"26","Ernests Gulbis",0.2,0.689497716894977,0.465979924267886,0.421052631578947,0.378109452736318,0.0696517412935323,1.33223140495868,0.111940298507463,0.108910891089109,0.466666666666667,30.695687885,0.0771144278606965,1,79,"Clay"
"27","Fabio Fognini",0.636363636363636,0.674812030075188,0.392320905012382,0.541085271317829,0.363790186125212,0.0332769317540891,1.42651296829971,0.0970107163000564,0.103427895981087,0.598837209302326,31.9446207454318,0.0360970107163001,1,13.8181818181818,"Clay"
"28","Federico Delbonis",0.5,0.673139158576052,0.37890807293362,0.591263650546022,0.322921914357683,0.036272040302267,1.40104166666667,0.0886649874055416,0.0960975609756098,0.573863636363636,28.5695870408417,0.0544080604534005,0,75,"Clay"
"29","Feliciano Lopez",0,0.590909090909091,0.56,0.64,0.5,0.1,1.40740740740741,0.1,0.046875,0.4,37.5852156057,0.06,0,93,"Clay"
"30","Felix Auger Aliassime",0.571428571428571,0.722772277227723,0.337595896646406,0.571428571428571,0.290292177191329,0.0933081998114986,1.35599743425273,0.0838831291234684,0.0693257359924027,0.595505617977528,18.6981519507,0.0433553251649387,1,36.4285714285714,"Clay"
"31","Fernando Verdasco",0.470588235294118,0.690095846645367,0.350460548228973,0.540045766590389,0.303472222222222,0.0465277777777778,1.32728098048116,0.104166666666667,0.0963611859838275,0.653333333333333,35.5211982123529,0.0444444444444444,0,34.7058823529412,"Clay"
"32","Filip Krajinovic",0.625,0.654362416107383,0.345577574644498,0.58041958041958,0.319910514541387,0.0536912751677852,1.38957055214724,0.106263982102908,0.105664488017429,0.642105263157895,27.335386721425,0.0134228187919463,1,58.75,"Clay"
"33","Frances Tiafoe",0.444444444444444,0.680392156862745,0.34412099271378,0.538167938931298,0.331226295828066,0.0543615676359039,1.42562724014337,0.0720606826801517,0.07,0.421052631578947,21.2873982812111,0.0240202275600506,1,33.5555555555556,"Clay"
"34","Gael Monfils",0.6,0.678095238095238,0.304235533035723,0.567441860465116,0.279220779220779,0.0376623376623377,1.51940298507463,0.1,0.101717305151915,0.597402597402597,32.69733059549,0.038961038961039,1,17.4,"Clay"
"35","Gilles Simon",0.5,0.664319248826291,0.363109222136678,0.506329113924051,0.347507331378299,0.032258064516129,1.29299363057325,0.117302052785924,0.102841677943166,0.6125,34.32772073922,0.0278592375366569,1,28.4,"Clay"
"36","Grigor Dimitrov",0.454545454545455,0.730606488011283,0.372481987669489,0.515580736543909,0.318304779080252,0.0649233543733093,1.44702842377261,0.0820559062218215,0.0928381962864721,0.648351648351648,27.9708792234455,0.042380522993688,1,40.8181818181818,"Clay"
"37","Guido Andreozzi",0.222222222222222,0.623501199040767,0.362539140838463,0.546875,0.296296296296296,0.0200617283950617,1.34590517241379,0.135802469135802,0.0948419301164725,0.625,27.6422541638222,0.0601851851851852,1,86.1111111111111,"Clay"
"38","Guido Pella",0.7,0.673215455140799,0.330800449045267,0.581428571428571,0.306211723534558,0.0441819772528434,1.38718251624336,0.0866141732283465,0.0999585234342596,0.580808080808081,28.8542094455633,0.0258092738407699,0,39.4,"Clay"
"39","Henri Laaksonen",0,0.7,0.571428571428571,0.540540540540541,0.528571428571429,0.0142857142857143,1.50485436893204,0.0857142857142857,0.0705882352941176,0.333333333333333,27.2881587953,0.0428571428571429,1,93,"Clay"
"40","Hubert Hurkacz",0.285714285714286,0.689542483660131,0.382368963277402,0.596685082872928,0.358415841584158,0.0732673267326733,1.41773962804006,0.0752475247524752,0.065843621399177,0.5,22.2286105407143,0.0356435643564356,1,49.5714285714286,"Clay"
"41","Hugo Dellien",0.357142857142857,0.641025641025641,0.275372484381085,0.543071161048689,0.259727626459144,0.0379377431906615,1.51472754050074,0.107976653696498,0.0884353741496599,0.594594594594595,25.8973305954857,0.0194552529182879,1,90.6428571428571,"Clay"
"42","Ivo Karlovic",0.333333333333333,0.776315789473684,0.331988201234021,0.574468085106383,0.277286135693215,0.20353982300885,1.59644670050761,0.056047197640118,0.0172413793103448,0.684210526315789,40.1962126397667,0.0501474926253687,1,88.3333333333333,"Clay"
"43","Jan Lennard Struff",0.611111111111111,0.761728395061728,0.465902617844886,0.544461778471139,0.427333333333333,0.106666666666667,1.51767676767677,0.084,0.0870431893687708,0.611111111111111,29.0528557304778,0.0326666666666667,1,46.8333333333333,"Clay"
"44","Jaume Munar",0.538461538461538,0.693313953488372,0.378792231763862,0.518421052631579,0.34608378870674,0.0441712204007286,1.3678125,0.0892531876138433,0.0962861072902338,0.576530612244898,21.9328173537808,0.0273224043715847,1,69.9615384615385,"Clay"
"45","Jeremy Chardy",0.5,0.708333333333333,0.381072957350898,0.543893129770992,0.334396936821953,0.0829610721123165,1.4519906323185,0.0829610721123165,0.0945857795172864,0.553846153846154,32.320191649545,0.0529674537332482,1,58.3,"Clay"
