"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_sec_in_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","surface"
"14","Cameron Norrie",0.4,0.708955223880597,0.354305618168139,0.555555555555556,0.303614457831325,0.0698795180722892,1.4408014571949,0.0891566265060241,0.074468085106383,0.648648648648649,23.8395619439,0.0506024096385542,0,51.4,"Grass"
"15","Casper Ruud",0,0.806451612903226,0.303370786516854,0.777777777777778,0.202247191011236,0.0786516853932584,1.55084745762712,0.0337078651685393,0.0212765957446809,0.333333333333333,20.5229295003,0.101123595505618,1,62,"Grass"
"16","Christian Garin",0.4,0.673835125448029,0.403884423570909,0.522727272727273,0.374468085106383,0.0617021276595745,1.54195804195804,0.119148936170213,0.087378640776699,0.678571428571429,23.043394935,0.0319148936170213,1,32.4,"Grass"
"17","Corentin Moutet",0.5,0.672131147540984,0.319810851169736,0.552238805970149,0.248148148148148,0.0222222222222222,1.54444444444444,0.0925925925925926,0.115384615384615,0.56,20.1998631075,0.0740740740740741,0,84,"Grass"
"18","Damir Dzumhur",0.666666666666667,0.72,0.368587839176074,0.610526315789474,0.309446254071661,0.0749185667752443,1.65957446808511,0.0651465798045603,0.0851735015772871,0.6,27.100159708,0.0390879478827362,1,72.3333333333333,"Grass"
"19","Daniel Evans",0.571428571428571,0.715384615384615,0.354217503575109,0.622448979591837,0.323432343234323,0.0429042904290429,1.43396226415094,0.0841584158415842,0.120991253644315,0.647058823529412,29.0924024640714,0.033003300330033,1,63,"Grass"
"20","Daniil Medvedev",0.625,0.744769874476987,0.395060433103677,0.619217081850534,0.354350567465322,0.127364438839849,1.54580152671756,0.064312736443884,0.0882708585247884,0.627450980392157,23.3576317590875,0.042875157629256,1,13,"Grass"
"21","David Goffin",0.769230769230769,0.771626297577855,0.434091832177357,0.590686274509804,0.395348837209302,0.0920542635658915,1.47738014854828,0.064922480620155,0.108996539792388,0.552238805970149,28.5359869425231,0.0445736434108527,1,29.1538461538462,"Grass"
"22","Denis Kudla",0.6,0.700534759358289,0.439466609466609,0.596899224806202,0.394495412844037,0.0581039755351682,1.62291169451074,0.0764525993883792,0.0708215297450425,0.44,26.8501026694,0.0336391437308868,1,90.4,"Grass"
"23","Denis Shapovalov",0,0.720338983050847,0.443617206548241,0.682926829268293,0.386792452830189,0.122641509433962,1.60553633217993,0.0707547169811321,0.0396825396825397,0.6,20.1788729181,0.0566037735849057,0,25.6666666666667,"Grass"
